"SMP_LABEL"	"SMP_EFFORT"	"DISTANCE"	"STR_LABEL"	"STR_AREA"	"DISTANCE.1"	"SEX"
"Default"	210	2.4	"Default"	1680	2.4	1
"Default"	210	2.4	"Default"	1680	2.4	1
"Default"	210	1.12	"Default"	1680	1.12	0
"Default"	210	1.12	"Default"	1680	1.12	0
"Default"	210	0.01	"Default"	1680	0.01	1
"Default"	210	0.01	"Default"	1680	0.01	1
"Default"	210	1.62	"Default"	1680	1.62	1
"Default"	210	1.62	"Default"	1680	1.62	1
"Default"	210	1.19	"Default"	1680	1.19	1
"Default"	210	1.19	"Default"	1680	1.19	1
"Default"	210	0.91	"Default"	1680	0.91	1
"Default"	210	0.91	"Default"	1680	0.91	1
"Default"	210	0.91	"Default"	1680	0.91	1
"Default"	210	0.91	"Default"	1680	0.91	1
"Default"	210	1.95	"Default"	1680	1.95	1
"Default"	210	1.95	"Default"	1680	1.95	1
"Default"	210	0.07	"Default"	1680	0.07	1
"Default"	210	0.07	"Default"	1680	0.07	1
"Default"	210	0.46	"Default"	1680	0.46	0
"Default"	210	0.46	"Default"	1680	0.46	0
"Default"	210	1.24	"Default"	1680	1.24	1
"Default"	210	1.24	"Default"	1680	1.24	1
"Default"	210	2.32	"Default"	1680	2.32	1
"Default"	210	2.32	"Default"	1680	2.32	1
"Default"	210	2.33	"Default"	1680	2.33	1
"Default"	210	2.33	"Default"	1680	2.33	1
"Default"	210	0.68	"Default"	1680	0.68	1
"Default"	210	0.68	"Default"	1680	0.68	1
"Default"	210	0.68	"Default"	1680	0.68	1
"Default"	210	0.68	"Default"	1680	0.68	1
"Default"	210	2.99	"Default"	1680	2.99	1
"Default"	210	2.99	"Default"	1680	2.99	1
"Default"	210	1.76	"Default"	1680	1.76	0
"Default"	210	1.76	"Default"	1680	1.76	0
"Default"	210	0.2	"Default"	1680	0.2	1
"Default"	210	0.2	"Default"	1680	0.2	1
"Default"	210	0.01	"Default"	1680	0.01	0
"Default"	210	0.01	"Default"	1680	0.01	0
"Default"	210	0.12	"Default"	1680	0.12	1
"Default"	210	0.12	"Default"	1680	0.12	1
"Default"	210	1.33	"Default"	1680	1.33	1
"Default"	210	1.33	"Default"	1680	1.33	1
"Default"	210	0.58	"Default"	1680	0.58	0
"Default"	210	0.58	"Default"	1680	0.58	0
"Default"	210	1.14	"Default"	1680	1.14	0
"Default"	210	1.14	"Default"	1680	1.14	0
"Default"	210	2.14	"Default"	1680	2.14	0
"Default"	210	2.14	"Default"	1680	2.14	0
"Default"	210	0.88	"Default"	1680	0.88	0
"Default"	210	0.88	"Default"	1680	0.88	0
"Default"	210	2.91	"Default"	1680	2.91	1
"Default"	210	2.91	"Default"	1680	2.91	1
"Default"	210	0.15	"Default"	1680	0.15	1
"Default"	210	0.15	"Default"	1680	0.15	1
"Default"	210	0.93	"Default"	1680	0.93	0
"Default"	210	0.93	"Default"	1680	0.93	0
"Default"	210	1.26	"Default"	1680	1.26	0
"Default"	210	1.26	"Default"	1680	1.26	0
"Default"	210	1.12	"Default"	1680	1.12	1
"Default"	210	1.12	"Default"	1680	1.12	1
"Default"	210	1.83	"Default"	1680	1.83	1
"Default"	210	1.83	"Default"	1680	1.83	1
"Default"	210	2.46	"Default"	1680	2.46	1
"Default"	210	2.46	"Default"	1680	2.46	1
"Default"	210	1.78	"Default"	1680	1.78	1
"Default"	210	1.78	"Default"	1680	1.78	1
"Default"	210	0.1	"Default"	1680	0.1	1
"Default"	210	0.1	"Default"	1680	0.1	1
"Default"	210	1.32	"Default"	1680	1.32	1
"Default"	210	1.32	"Default"	1680	1.32	1
"Default"	210	1.44	"Default"	1680	1.44	1
"Default"	210	1.44	"Default"	1680	1.44	1
"Default"	210	1.03	"Default"	1680	1.03	1
"Default"	210	1.03	"Default"	1680	1.03	1
"Default"	210	0.56	"Default"	1680	0.56	1
"Default"	210	0.56	"Default"	1680	0.56	1
"Default"	210	2.74	"Default"	1680	2.74	1
"Default"	210	2.74	"Default"	1680	2.74	1
"Default"	210	0.68	"Default"	1680	0.68	0
"Default"	210	0.68	"Default"	1680	0.68	0
"Default"	210	1.31	"Default"	1680	1.31	1
"Default"	210	1.31	"Default"	1680	1.31	1
"Default"	210	3.38	"Default"	1680	3.38	1
"Default"	210	3.38	"Default"	1680	3.38	1
"Default"	210	0.28	"Default"	1680	0.28	1
"Default"	210	0.28	"Default"	1680	0.28	1
"Default"	210	0.78	"Default"	1680	0.78	1
"Default"	210	0.78	"Default"	1680	0.78	1
"Default"	210	2.47	"Default"	1680	2.47	0
"Default"	210	2.47	"Default"	1680	2.47	0
"Default"	210	3.63	"Default"	1680	3.63	1
"Default"	210	3.63	"Default"	1680	3.63	1
"Default"	210	2.25	"Default"	1680	2.25	1
"Default"	210	2.25	"Default"	1680	2.25	1
"Default"	210	1.76	"Default"	1680	1.76	0
"Default"	210	1.76	"Default"	1680	1.76	0
"Default"	210	1.49	"Default"	1680	1.49	1
"Default"	210	1.49	"Default"	1680	1.49	1
"Default"	210	2.69	"Default"	1680	2.69	1
"Default"	210	2.69	"Default"	1680	2.69	1
"Default"	210	0.25	"Default"	1680	0.25	1
"Default"	210	0.25	"Default"	1680	0.25	1
"Default"	210	0.69	"Default"	1680	0.69	1
"Default"	210	0.69	"Default"	1680	0.69	1
"Default"	210	0.02	"Default"	1680	0.02	0
"Default"	210	0.02	"Default"	1680	0.02	0
"Default"	210	1.17	"Default"	1680	1.17	0
"Default"	210	1.17	"Default"	1680	1.17	0
"Default"	210	0.03	"Default"	1680	0.03	1
"Default"	210	0.03	"Default"	1680	0.03	1
"Default"	210	1.43	"Default"	1680	1.43	1
"Default"	210	1.43	"Default"	1680	1.43	1
"Default"	210	0.67	"Default"	1680	0.67	1
"Default"	210	0.67	"Default"	1680	0.67	1
"Default"	210	2.3	"Default"	1680	2.3	1
"Default"	210	2.3	"Default"	1680	2.3	1
"Default"	210	1.27	"Default"	1680	1.27	0
"Default"	210	1.27	"Default"	1680	1.27	0
"Default"	210	0.29	"Default"	1680	0.29	1
"Default"	210	0.29	"Default"	1680	0.29	1
"Default"	210	0.3	"Default"	1680	0.3	1
"Default"	210	0.3	"Default"	1680	0.3	1
"Default"	210	1.93	"Default"	1680	1.93	1
"Default"	210	1.93	"Default"	1680	1.93	1
"Default"	210	0.08	"Default"	1680	0.08	0
"Default"	210	0.08	"Default"	1680	0.08	0
"Default"	210	0.55	"Default"	1680	0.55	0
"Default"	210	0.55	"Default"	1680	0.55	0
"Default"	210	1.55	"Default"	1680	1.55	1
"Default"	210	1.55	"Default"	1680	1.55	1
"Default"	210	1.14	"Default"	1680	1.14	1
"Default"	210	1.14	"Default"	1680	1.14	1
"Default"	210	0.78	"Default"	1680	0.78	0
"Default"	210	0.78	"Default"	1680	0.78	0
"Default"	210	0.22	"Default"	1680	0.22	1
"Default"	210	0.22	"Default"	1680	0.22	1
"Default"	210	1.22	"Default"	1680	1.22	0
"Default"	210	1.22	"Default"	1680	1.22	0
"Default"	210	2.96	"Default"	1680	2.96	1
"Default"	210	2.96	"Default"	1680	2.96	1
"Default"	210	1	"Default"	1680	1	0
"Default"	210	1	"Default"	1680	1	0
"Default"	210	2.74	"Default"	1680	2.74	1
"Default"	210	2.74	"Default"	1680	2.74	1
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	1.6	"Default"	1680	1.6	1
"Default"	210	1.6	"Default"	1680	1.6	1
"Default"	210	1.6	"Default"	1680	1.6	1
"Default"	210	1.6	"Default"	1680	1.6	1
"Default"	210	1.02	"Default"	1680	1.02	1
"Default"	210	1.02	"Default"	1680	1.02	1
"Default"	210	1.47	"Default"	1680	1.47	0
"Default"	210	1.47	"Default"	1680	1.47	0
"Default"	210	0.86	"Default"	1680	0.86	0
"Default"	210	0.86	"Default"	1680	0.86	0
"Default"	210	0.41	"Default"	1680	0.41	1
"Default"	210	0.41	"Default"	1680	0.41	1
"Default"	210	2.48	"Default"	1680	2.48	0
"Default"	210	2.48	"Default"	1680	2.48	0
"Default"	210	0.25	"Default"	1680	0.25	0
"Default"	210	0.25	"Default"	1680	0.25	0
"Default"	210	1.15	"Default"	1680	1.15	1
"Default"	210	1.15	"Default"	1680	1.15	1
"Default"	210	1	"Default"	1680	1	1
"Default"	210	1	"Default"	1680	1	1
"Default"	210	0.47	"Default"	1680	0.47	0
"Default"	210	0.47	"Default"	1680	0.47	0
"Default"	210	2.61	"Default"	1680	2.61	1
"Default"	210	2.61	"Default"	1680	2.61	1
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	1.41	"Default"	1680	1.41	1
"Default"	210	1.41	"Default"	1680	1.41	1
