"","Region.Label","Area","Sample.Label","Effort","object","distance","observer","detected","sex","exposure","size","Study.Area"
"81","Default",1680,"Default",210,41,3.15,1,0,0,1,3,"GolfteesExercise"
"82","Default",1680,"Default",210,41,3.15,2,1,0,1,3,"GolfteesExercise"
"83","Default",1680,"Default",210,42,0.36,1,0,0,0,2,"GolfteesExercise"
"84","Default",1680,"Default",210,42,0.36,2,1,0,0,2,"GolfteesExercise"
"85","Default",1680,"Default",210,43,2.91,1,0,1,0,3,"GolfteesExercise"
"86","Default",1680,"Default",210,43,2.91,2,1,1,0,3,"GolfteesExercise"
"87","Default",1680,"Default",210,44,2.41,1,0,0,0,5,"GolfteesExercise"
"88","Default",1680,"Default",210,44,2.41,2,1,0,0,5,"GolfteesExercise"
"89","Default",1680,"Default",210,45,3.24,1,0,0,1,4,"GolfteesExercise"
"90","Default",1680,"Default",210,45,3.24,2,1,0,1,4,"GolfteesExercise"
"91","Default",1680,"Default",210,46,2.78,1,0,0,1,5,"GolfteesExercise"
"92","Default",1680,"Default",210,46,2.78,2,1,0,1,5,"GolfteesExercise"
"93","Default",1680,"Default",210,47,2.85,1,0,1,1,3,"GolfteesExercise"
"94","Default",1680,"Default",210,47,2.85,2,1,1,1,3,"GolfteesExercise"
"95","Default",1680,"Default",210,48,2.22,1,0,0,0,4,"GolfteesExercise"
"96","Default",1680,"Default",210,48,2.22,2,1,0,0,4,"GolfteesExercise"
"97","Default",1680,"Default",210,49,0.47,1,0,0,0,3,"GolfteesExercise"
"98","Default",1680,"Default",210,49,0.47,2,1,0,0,3,"GolfteesExercise"
"99","Default",1680,"Default",210,50,1.79,1,0,0,0,4,"GolfteesExercise"
"100","Default",1680,"Default",210,50,1.79,2,1,0,0,4,"GolfteesExercise"
"101","Default",1680,"Default",210,51,1.38,1,0,0,0,2,"GolfteesExercise"
"102","Default",1680,"Default",210,51,1.38,2,1,0,0,2,"GolfteesExercise"
"103","Default",1680,"Default",210,52,1.39,1,0,0,1,5,"GolfteesExercise"
"104","Default",1680,"Default",210,52,1.39,2,1,0,1,5,"GolfteesExercise"
"105","Default",1680,"Default",210,53,3.65,1,0,0,1,5,"GolfteesExercise"
"106","Default",1680,"Default",210,53,3.65,2,1,0,1,5,"GolfteesExercise"
"107","Default",1680,"Default",210,54,1.49,1,0,0,0,4,"GolfteesExercise"
"108","Default",1680,"Default",210,54,1.49,2,1,0,0,4,"GolfteesExercise"
"109","Default",1680,"Default",210,55,1.71,1,0,1,0,3,"GolfteesExercise"
"110","Default",1680,"Default",210,55,1.71,2,1,1,0,3,"GolfteesExercise"
"111","Default",1680,"Default",210,56,2.41,1,0,1,1,1,"GolfteesExercise"
"112","Default",1680,"Default",210,56,2.41,2,1,1,1,1,"GolfteesExercise"
"113","Default",1680,"Default",210,57,1.29,1,0,0,0,1,"GolfteesExercise"
"114","Default",1680,"Default",210,57,1.29,2,1,0,0,1,"GolfteesExercise"
"115","Default",1680,"Default",210,58,2.95,1,0,1,0,3,"GolfteesExercise"
"116","Default",1680,"Default",210,58,2.95,2,1,1,0,3,"GolfteesExercise"
"117","Default",1680,"Default",210,59,2.19,1,1,1,1,1,"GolfteesExercise"
"118","Default",1680,"Default",210,59,2.19,2,1,1,1,1,"GolfteesExercise"
"119","Default",1680,"Default",210,60,1.27,1,1,1,0,3,"GolfteesExercise"
"120","Default",1680,"Default",210,60,1.27,2,1,1,0,3,"GolfteesExercise"
"121","Default",1680,"Default",210,61,0.45,1,1,1,1,2,"GolfteesExercise"
"122","Default",1680,"Default",210,61,0.45,2,1,1,1,2,"GolfteesExercise"
"123","Default",1680,"Default",210,62,0.66,1,1,1,1,1,"GolfteesExercise"
"124","Default",1680,"Default",210,62,0.66,2,1,1,1,1,"GolfteesExercise"
"125","Default",1680,"Default",210,63,2.74,1,1,1,1,5,"GolfteesExercise"
"126","Default",1680,"Default",210,63,2.74,2,1,1,1,5,"GolfteesExercise"
"127","Default",1680,"Default",210,64,2.09,1,1,0,1,3,"GolfteesExercise"
"128","Default",1680,"Default",210,64,2.09,2,1,0,1,3,"GolfteesExercise"
"129","Default",1680,"Default",210,65,1.38,1,1,1,1,2,"GolfteesExercise"
"130","Default",1680,"Default",210,65,1.38,2,1,1,1,2,"GolfteesExercise"
"131","Default",1680,"Default",210,66,1.91,1,1,1,1,2,"GolfteesExercise"
"132","Default",1680,"Default",210,66,1.91,2,1,1,1,2,"GolfteesExercise"
"133","Default",1680,"Default",210,67,0.23,1,1,1,0,3,"GolfteesExercise"
"134","Default",1680,"Default",210,67,0.23,2,1,1,0,3,"GolfteesExercise"
"135","Default",1680,"Default",210,68,1.21,1,1,1,1,2,"GolfteesExercise"
"136","Default",1680,"Default",210,68,1.21,2,1,1,1,2,"GolfteesExercise"
"137","Default",1680,"Default",210,69,3.01,1,1,0,1,5,"GolfteesExercise"
"138","Default",1680,"Default",210,69,3.01,2,1,0,1,5,"GolfteesExercise"
"139","Default",1680,"Default",210,70,1.44,1,1,1,1,3,"GolfteesExercise"
"140","Default",1680,"Default",210,70,1.44,2,1,1,1,3,"GolfteesExercise"
"141","Default",1680,"Default",210,71,2.46,1,1,1,1,2,"GolfteesExercise"
"142","Default",1680,"Default",210,71,2.46,2,1,1,1,2,"GolfteesExercise"
"143","Default",1680,"Default",210,72,0.11,1,1,0,1,8,"GolfteesExercise"
"144","Default",1680,"Default",210,72,0.11,2,1,0,1,8,"GolfteesExercise"
"145","Default",1680,"Default",210,73,2.88,1,1,1,1,2,"GolfteesExercise"
"146","Default",1680,"Default",210,73,2.88,2,1,1,1,2,"GolfteesExercise"
"147","Default",1680,"Default",210,74,0.28,1,1,1,1,2,"GolfteesExercise"
"148","Default",1680,"Default",210,74,0.28,2,1,1,1,2,"GolfteesExercise"
"149","Default",1680,"Default",210,75,1.37,1,1,1,1,4,"GolfteesExercise"
"150","Default",1680,"Default",210,75,1.37,2,1,1,1,4,"GolfteesExercise"
"151","Default",1680,"Default",210,76,2.4,1,1,1,1,3,"GolfteesExercise"
"152","Default",1680,"Default",210,76,2.4,2,1,1,1,3,"GolfteesExercise"
"153","Default",1680,"Default",210,77,1.12,1,1,0,1,1,"GolfteesExercise"
"154","Default",1680,"Default",210,77,1.12,2,1,0,1,1,"GolfteesExercise"
"155","Default",1680,"Default",210,78,0.01,1,1,1,0,6,"GolfteesExercise"
"156","Default",1680,"Default",210,78,0.01,2,1,1,0,6,"GolfteesExercise"
"157","Default",1680,"Default",210,79,1.62,1,1,1,0,2,"GolfteesExercise"
"158","Default",1680,"Default",210,79,1.62,2,1,1,0,2,"GolfteesExercise"
"159","Default",1680,"Default",210,80,1.19,1,1,1,1,6,"GolfteesExercise"
"160","Default",1680,"Default",210,80,1.19,2,1,1,1,6,"GolfteesExercise"
"161","Default",1680,"Default",210,81,0.91,1,1,1,1,2,"GolfteesExercise"
"162","Default",1680,"Default",210,81,0.91,2,1,1,1,2,"GolfteesExercise"
"163","Default",1680,"Default",210,82,0.91,1,1,1,1,2,"GolfteesExercise"
"164","Default",1680,"Default",210,82,0.91,2,1,1,1,2,"GolfteesExercise"
"165","Default",1680,"Default",210,83,1.95,1,1,1,1,4,"GolfteesExercise"
"166","Default",1680,"Default",210,83,1.95,2,1,1,1,4,"GolfteesExercise"
"167","Default",1680,"Default",210,84,0.07,1,1,1,0,1,"GolfteesExercise"
"168","Default",1680,"Default",210,84,0.07,2,1,1,0,1,"GolfteesExercise"
"169","Default",1680,"Default",210,85,0.46,1,1,0,1,1,"GolfteesExercise"
"170","Default",1680,"Default",210,85,0.46,2,1,0,1,1,"GolfteesExercise"
"171","Default",1680,"Default",210,86,1.24,1,1,1,0,5,"GolfteesExercise"
"172","Default",1680,"Default",210,86,1.24,2,1,1,0,5,"GolfteesExercise"
"173","Default",1680,"Default",210,87,2.32,1,1,1,1,7,"GolfteesExercise"
"174","Default",1680,"Default",210,87,2.32,2,1,1,1,7,"GolfteesExercise"
"175","Default",1680,"Default",210,88,2.33,1,1,1,0,4,"GolfteesExercise"
"176","Default",1680,"Default",210,88,2.33,2,1,1,0,4,"GolfteesExercise"
"177","Default",1680,"Default",210,89,0.68,1,1,1,1,3,"GolfteesExercise"
"178","Default",1680,"Default",210,89,0.68,2,1,1,1,3,"GolfteesExercise"
"179","Default",1680,"Default",210,90,0.68,1,1,1,1,6,"GolfteesExercise"
"180","Default",1680,"Default",210,90,0.68,2,1,1,1,6,"GolfteesExercise"
"181","Default",1680,"Default",210,91,2.99,1,1,1,1,4,"GolfteesExercise"
"182","Default",1680,"Default",210,91,2.99,2,1,1,1,4,"GolfteesExercise"
"183","Default",1680,"Default",210,92,1.76,1,1,0,1,2,"GolfteesExercise"
"184","Default",1680,"Default",210,92,1.76,2,1,0,1,2,"GolfteesExercise"
"185","Default",1680,"Default",210,93,0.2,1,1,1,0,4,"GolfteesExercise"
"186","Default",1680,"Default",210,93,0.2,2,1,1,0,4,"GolfteesExercise"
"187","Default",1680,"Default",210,94,0.01,1,1,0,1,5,"GolfteesExercise"
"188","Default",1680,"Default",210,94,0.01,2,1,0,1,5,"GolfteesExercise"
"189","Default",1680,"Default",210,95,0.12,1,1,1,1,2,"GolfteesExercise"
"190","Default",1680,"Default",210,95,0.12,2,1,1,1,2,"GolfteesExercise"
"191","Default",1680,"Default",210,96,1.33,1,1,1,1,3,"GolfteesExercise"
"192","Default",1680,"Default",210,96,1.33,2,1,1,1,3,"GolfteesExercise"
"193","Default",1680,"Default",210,97,0.58,1,1,0,1,1,"GolfteesExercise"
"194","Default",1680,"Default",210,97,0.58,2,1,0,1,1,"GolfteesExercise"
"195","Default",1680,"Default",210,98,1.14,1,1,0,1,1,"GolfteesExercise"
"196","Default",1680,"Default",210,98,1.14,2,1,0,1,1,"GolfteesExercise"
"197","Default",1680,"Default",210,99,2.14,1,1,0,1,4,"GolfteesExercise"
"198","Default",1680,"Default",210,99,2.14,2,1,0,1,4,"GolfteesExercise"
"199","Default",1680,"Default",210,100,0.88,1,1,0,1,6,"GolfteesExercise"
"200","Default",1680,"Default",210,100,0.88,2,1,0,1,6,"GolfteesExercise"
"201","Default",1680,"Default",210,101,2.91,1,1,1,1,3,"GolfteesExercise"
"202","Default",1680,"Default",210,101,2.91,2,1,1,1,3,"GolfteesExercise"
"203","Default",1680,"Default",210,102,0.15,1,1,1,1,4,"GolfteesExercise"
"204","Default",1680,"Default",210,102,0.15,2,1,1,1,4,"GolfteesExercise"
"205","Default",1680,"Default",210,103,0.93,1,1,0,1,1,"GolfteesExercise"
"206","Default",1680,"Default",210,103,0.93,2,1,0,1,1,"GolfteesExercise"
"207","Default",1680,"Default",210,104,1.26,1,1,0,1,4,"GolfteesExercise"
"208","Default",1680,"Default",210,104,1.26,2,1,0,1,4,"GolfteesExercise"
"209","Default",1680,"Default",210,105,1.12,1,1,1,0,5,"GolfteesExercise"
"210","Default",1680,"Default",210,105,1.12,2,1,1,0,5,"GolfteesExercise"
"211","Default",1680,"Default",210,106,1.83,1,1,1,1,1,"GolfteesExercise"
"212","Default",1680,"Default",210,106,1.83,2,1,1,1,1,"GolfteesExercise"
"213","Default",1680,"Default",210,107,2.46,1,1,1,1,4,"GolfteesExercise"
"214","Default",1680,"Default",210,107,2.46,2,1,1,1,4,"GolfteesExercise"
"215","Default",1680,"Default",210,108,1.78,1,1,1,1,4,"GolfteesExercise"
"216","Default",1680,"Default",210,108,1.78,2,1,1,1,4,"GolfteesExercise"
"217","Default",1680,"Default",210,109,0.1,1,1,1,0,2,"GolfteesExercise"
"218","Default",1680,"Default",210,109,0.1,2,1,1,0,2,"GolfteesExercise"
"219","Default",1680,"Default",210,110,1.32,1,1,1,0,2,"GolfteesExercise"
"220","Default",1680,"Default",210,110,1.32,2,1,1,0,2,"GolfteesExercise"
"221","Default",1680,"Default",210,111,1.44,1,1,1,1,5,"GolfteesExercise"
"222","Default",1680,"Default",210,111,1.44,2,1,1,1,5,"GolfteesExercise"
"223","Default",1680,"Default",210,112,1.03,1,1,1,0,1,"GolfteesExercise"
"224","Default",1680,"Default",210,112,1.03,2,1,1,0,1,"GolfteesExercise"
"225","Default",1680,"Default",210,113,0.56,1,1,1,1,6,"GolfteesExercise"
"226","Default",1680,"Default",210,113,0.56,2,1,1,1,6,"GolfteesExercise"
"227","Default",1680,"Default",210,114,2.74,1,1,1,1,4,"GolfteesExercise"
"228","Default",1680,"Default",210,114,2.74,2,1,1,1,4,"GolfteesExercise"
"229","Default",1680,"Default",210,115,0.68,1,1,0,1,2,"GolfteesExercise"
"230","Default",1680,"Default",210,115,0.68,2,1,0,1,2,"GolfteesExercise"
"231","Default",1680,"Default",210,116,1.31,1,1,1,0,3,"GolfteesExercise"
"232","Default",1680,"Default",210,116,1.31,2,1,1,0,3,"GolfteesExercise"
"233","Default",1680,"Default",210,117,3.38,1,1,1,1,4,"GolfteesExercise"
"234","Default",1680,"Default",210,117,3.38,2,1,1,1,4,"GolfteesExercise"
"235","Default",1680,"Default",210,118,0.28,1,1,1,0,6,"GolfteesExercise"
"236","Default",1680,"Default",210,118,0.28,2,1,1,0,6,"GolfteesExercise"
"237","Default",1680,"Default",210,119,0.78,1,1,1,0,4,"GolfteesExercise"
"238","Default",1680,"Default",210,119,0.78,2,1,1,0,4,"GolfteesExercise"
"239","Default",1680,"Default",210,120,2.47,1,1,0,1,2,"GolfteesExercise"
"240","Default",1680,"Default",210,120,2.47,2,1,0,1,2,"GolfteesExercise"
"241","Default",1680,"Default",210,121,3.63,1,1,1,1,1,"GolfteesExercise"
"242","Default",1680,"Default",210,121,3.63,2,1,1,1,1,"GolfteesExercise"
"243","Default",1680,"Default",210,122,2.25,1,1,1,1,3,"GolfteesExercise"
"244","Default",1680,"Default",210,122,2.25,2,1,1,1,3,"GolfteesExercise"
"245","Default",1680,"Default",210,123,1.76,1,1,0,1,3,"GolfteesExercise"
"246","Default",1680,"Default",210,123,1.76,2,1,0,1,3,"GolfteesExercise"
"247","Default",1680,"Default",210,124,1.49,1,1,1,1,2,"GolfteesExercise"
"248","Default",1680,"Default",210,124,1.49,2,1,1,1,2,"GolfteesExercise"
"249","Default",1680,"Default",210,125,2.69,1,1,1,1,2,"GolfteesExercise"
"250","Default",1680,"Default",210,125,2.69,2,1,1,1,2,"GolfteesExercise"
"251","Default",1680,"Default",210,126,0.25,1,1,1,1,2,"GolfteesExercise"
"252","Default",1680,"Default",210,126,0.25,2,1,1,1,2,"GolfteesExercise"
"253","Default",1680,"Default",210,127,0.69,1,1,1,1,2,"GolfteesExercise"
"254","Default",1680,"Default",210,127,0.69,2,1,1,1,2,"GolfteesExercise"
"255","Default",1680,"Default",210,128,0.02,1,1,0,1,2,"GolfteesExercise"
"256","Default",1680,"Default",210,128,0.02,2,1,0,1,2,"GolfteesExercise"
"257","Default",1680,"Default",210,129,1.17,1,1,0,1,6,"GolfteesExercise"
"258","Default",1680,"Default",210,129,1.17,2,1,0,1,6,"GolfteesExercise"
"259","Default",1680,"Default",210,130,0.03,1,1,1,1,4,"GolfteesExercise"
"260","Default",1680,"Default",210,130,0.03,2,1,1,1,4,"GolfteesExercise"
"261","Default",1680,"Default",210,131,1.43,1,1,1,0,4,"GolfteesExercise"
"262","Default",1680,"Default",210,131,1.43,2,1,1,0,4,"GolfteesExercise"
"263","Default",1680,"Default",210,132,0.67,1,1,1,1,2,"GolfteesExercise"
"264","Default",1680,"Default",210,132,0.67,2,1,1,1,2,"GolfteesExercise"
"265","Default",1680,"Default",210,133,2.3,1,1,1,0,4,"GolfteesExercise"
"266","Default",1680,"Default",210,133,2.3,2,1,1,0,4,"GolfteesExercise"
"267","Default",1680,"Default",210,134,1.27,1,1,0,1,3,"GolfteesExercise"
"268","Default",1680,"Default",210,134,1.27,2,1,0,1,3,"GolfteesExercise"
"269","Default",1680,"Default",210,135,0.29,1,1,1,0,3,"GolfteesExercise"
"270","Default",1680,"Default",210,135,0.29,2,1,1,0,3,"GolfteesExercise"
"271","Default",1680,"Default",210,136,0.3,1,1,1,1,3,"GolfteesExercise"
"272","Default",1680,"Default",210,136,0.3,2,1,1,1,3,"GolfteesExercise"
"273","Default",1680,"Default",210,137,1.93,1,1,1,1,3,"GolfteesExercise"
"274","Default",1680,"Default",210,137,1.93,2,1,1,1,3,"GolfteesExercise"
"275","Default",1680,"Default",210,138,0.08,1,1,0,1,1,"GolfteesExercise"
"276","Default",1680,"Default",210,138,0.08,2,1,0,1,1,"GolfteesExercise"
"277","Default",1680,"Default",210,139,0.55,1,1,0,1,3,"GolfteesExercise"
"278","Default",1680,"Default",210,139,0.55,2,1,0,1,3,"GolfteesExercise"
"279","Default",1680,"Default",210,140,1.55,1,1,1,1,4,"GolfteesExercise"
"280","Default",1680,"Default",210,140,1.55,2,1,1,1,4,"GolfteesExercise"
"281","Default",1680,"Default",210,141,1.14,1,1,1,1,4,"GolfteesExercise"
"282","Default",1680,"Default",210,141,1.14,2,1,1,1,4,"GolfteesExercise"
"283","Default",1680,"Default",210,142,0.78,1,1,0,0,1,"GolfteesExercise"
"284","Default",1680,"Default",210,142,0.78,2,1,0,0,1,"GolfteesExercise"
"285","Default",1680,"Default",210,143,0.22,1,1,1,1,2,"GolfteesExercise"
"286","Default",1680,"Default",210,143,0.22,2,1,1,1,2,"GolfteesExercise"
"287","Default",1680,"Default",210,144,1.22,1,1,0,1,7,"GolfteesExercise"
"288","Default",1680,"Default",210,144,1.22,2,1,0,1,7,"GolfteesExercise"
"289","Default",1680,"Default",210,145,2.96,1,1,1,0,3,"GolfteesExercise"
"290","Default",1680,"Default",210,145,2.96,2,1,1,0,3,"GolfteesExercise"
"291","Default",1680,"Default",210,146,1,1,1,0,1,5,"GolfteesExercise"
"292","Default",1680,"Default",210,146,1,2,1,0,1,5,"GolfteesExercise"
"293","Default",1680,"Default",210,147,2.74,1,1,1,1,4,"GolfteesExercise"
"294","Default",1680,"Default",210,147,2.74,2,1,1,1,4,"GolfteesExercise"
"295","Default",1680,"Default",210,148,0.11,1,1,0,1,1,"GolfteesExercise"
"296","Default",1680,"Default",210,148,0.11,2,1,0,1,1,"GolfteesExercise"
"297","Default",1680,"Default",210,149,1.6,1,1,1,1,2,"GolfteesExercise"
"298","Default",1680,"Default",210,149,1.6,2,1,1,1,2,"GolfteesExercise"
"299","Default",1680,"Default",210,150,1.6,1,1,1,1,8,"GolfteesExercise"
"300","Default",1680,"Default",210,150,1.6,2,1,1,1,8,"GolfteesExercise"
"301","Default",1680,"Default",210,151,1.02,1,1,1,0,1,"GolfteesExercise"
"302","Default",1680,"Default",210,151,1.02,2,1,1,0,1,"GolfteesExercise"
"303","Default",1680,"Default",210,152,1.47,1,1,0,1,5,"GolfteesExercise"
"304","Default",1680,"Default",210,152,1.47,2,1,0,1,5,"GolfteesExercise"
"305","Default",1680,"Default",210,153,0.86,1,1,0,1,3,"GolfteesExercise"
"306","Default",1680,"Default",210,153,0.86,2,1,0,1,3,"GolfteesExercise"
"307","Default",1680,"Default",210,154,0.41,1,1,1,1,3,"GolfteesExercise"
"308","Default",1680,"Default",210,154,0.41,2,1,1,1,3,"GolfteesExercise"
"309","Default",1680,"Default",210,155,2.48,1,1,0,1,1,"GolfteesExercise"
"310","Default",1680,"Default",210,155,2.48,2,1,0,1,1,"GolfteesExercise"
"311","Default",1680,"Default",210,156,0.25,1,1,0,1,3,"GolfteesExercise"
"312","Default",1680,"Default",210,156,0.25,2,1,0,1,3,"GolfteesExercise"
"313","Default",1680,"Default",210,157,1.15,1,1,1,1,2,"GolfteesExercise"
"314","Default",1680,"Default",210,157,1.15,2,1,1,1,2,"GolfteesExercise"
"315","Default",1680,"Default",210,158,1,1,1,1,0,6,"GolfteesExercise"
"316","Default",1680,"Default",210,158,1,2,1,1,0,6,"GolfteesExercise"
"317","Default",1680,"Default",210,159,0.47,1,1,0,1,5,"GolfteesExercise"
"318","Default",1680,"Default",210,159,0.47,2,1,0,1,5,"GolfteesExercise"
"319","Default",1680,"Default",210,160,2.61,1,1,1,1,3,"GolfteesExercise"
"320","Default",1680,"Default",210,160,2.61,2,1,1,1,3,"GolfteesExercise"
"321","Default",1680,"Default",210,161,0.11,1,1,0,1,1,"GolfteesExercise"
"322","Default",1680,"Default",210,161,0.11,2,1,0,1,1,"GolfteesExercise"
"323","Default",1680,"Default",210,162,1.41,1,1,1,0,4,"GolfteesExercise"
"324","Default",1680,"Default",210,162,1.41,2,1,1,0,4,"GolfteesExercise"
